V1,V2,V3b,PapIV,KIC,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,Simbad,_RA.icrs,_DE.icrs
0.0,0.0,1.0,1.0,11352791,0.0,b'',0.2805193,3.5e-06,55000.163545,0.0169,0.92,81.3525,13.9582,15.577,6059.0,b'False',b'LC',b'TS',b'Simbad',293.099,49.1194
0.0,0.0,1.0,1.0,05786545,0.0,b'',0.2805751,2e-07,55001.987489,0.015041,0.75,73.0232,12.2312,15.432,4954.0,b'False',b'LC',b'TS',b'Simbad',290.3603,41.0526
1.0,1.0,1.0,1.0,09272276,0.0,b'',0.280613,2e-07,54953.698094,0.01677,0.81,76.6138,15.8738,13.16,5560.0,b'False',b'LC',b'TS',b'Simbad',287.7475,45.7215
0.0,0.0,1.0,1.0,09527167,0.0,b'',0.2808953,2e-07,55002.154036,0.016074,0.97,78.331,13.2389,15.523,5412.0,b'False',b'LC',b'TS',b'Simbad',292.1834,46.1594
1.0,1.0,1.0,1.0,09179806,0.0,b'',0.2809633,2e-07,54964.81227,0.017681,0.84,80.3704,8.1437,15.173,5189.0,b'False',b'LC',b'TS',b'Simbad',299.9917,45.5208
1.0,1.0,1.0,1.0,07272739,0.0,b'',0.2811646,2e-07,54964.852294,0.015867,0.77,74.1809,13.9852,12.961,5192.0,b'True',b'LC',b'TS',b'Simbad',288.857,42.8126
1.0,1.0,1.0,1.0,10600319,0.0,b'',0.2815156,2e-07,54964.868221,0.016,0.94,79.8916,14.0986,14.941,4848.0,b'False',b'LC',b'TS',b'Simbad',291.9938,47.8977
1.0,1.0,1.0,1.0,05218385,0.0,b'',0.2815375,2e-07,54964.580677,0.016167,0.78,75.5737,6.0973,14.616,5260.0,b'False',b'LC',b'TS',b'Simbad',299.0671,40.3844
1.0,1.0,1.0,1.0,07269797,0.0,b'',0.2817924,2e-07,54964.708488,0.017434,0.86,73.8569,14.7748,15.637,5163.0,b'False',b'LC',b'TS',b'Simbad',287.6993,42.8447
0.0,0.0,1.0,1.0,05891963,0.0,b'',0.28196,2e-07,54949.819126,0.015376,0.95,75.1356,8.3747,13.602,5526.0,b'False',b'LC',b'TS',b'Simbad',296.1731,41.1401
1.0,1.0,1.0,1.0,07199353,0.0,b'',0.2819867,2e-07,54964.814394,0.017115,0.78,74.9482,12.2056,14.49,5166.0,b'False',b'LC',b'TS',b'Simbad',291.4847,42.7378
1.0,1.0,1.0,1.0,10350225,0.0,b'',0.2820697,2e-07,54964.827478,0.017899,0.8,80.6392,11.5978,14.781,5455.0,b'False',b'LC',b'TS',b'Simbad',295.8021,47.4399
0.0,0.0,1.0,1.0,08626039,0.0,b'',0.2828906,3.2e-06,55000.051783,0.04617,0.85,77.0292,12.5548,16.821,,b'False',b'LC',b'TS',b'Simbad',292.2766,44.7193
0.0,0.0,1.0,1.0,06267702,0.0,b'',0.2831963,2e-07,54999.949686,0.015792,0.9,71.9027,16.1472,15.593,5065.0,b'False',b'LC',b'TS',b'Simbad',285.0032,41.6413
0.0,0.0,1.0,1.0,01433410,0.0,b'',0.2832752,3.1e-06,54999.951811,0.014174,0.74,69.8401,9.5895,14.119,6003.0,b'False',b'LC',b'TS',b'Simbad',291.6376,37.0823
1.0,1.0,1.0,1.0,08242493,0.0,b'',0.2832856,2e-07,54964.621844,0.015407,0.75,77.4263,10.5964,14.697,4985.0,b'False',b'LC',b'TS',b'Simbad',294.971,44.183
